,SPY,LQD,HYG,JNK,VCIT,VCSH,USIG,BND,^FTSE,^N225,^STOXX50E,^GDAXI,^FCHI,^HSI,^AXJO
2012-07-03,107.77973175048828,71.6345443725586,42.42384719848633,51.37019729614258,51.677734375,54.44613265991211,34.0778923034668,56.23914337158203,5687.7001953125,9066.58984375,2320.429931640625,6578.2099609375,3271.199951171875,19735.529296875,4127.2001953125
2012-07-04,,,,,,,,,5684.5,9104.169921875,2312.409912109375,6564.7998046875,3267.75,19709.75,4172.2001953125
2012-07-05,107.29338836669922,71.81676483154297,42.42851638793945,51.31816101074219,51.75009536743164,54.54235076904297,34.11465072631836,56.399391174316406,5692.60009765625,9079.7998046875,2284.919921875,6535.56005859375,3229.360107421875,19809.130859375,4169.2001953125
2012-07-06,106.27371978759766,71.9990005493164,42.372676849365234,51.279144287109375,51.86465072631836,54.55606460571289,34.2310791015625,56.452781677246094,5662.60009765625,9020.75,2235.510009765625,6410.10986328125,3168.7900390625,19800.640625,4157.7998046875
2012-07-09,106.14035034179688,72.04761505126953,42.38665771484375,51.33115768432617,51.91292190551758,54.56297302246094,34.29542541503906,56.55963134765625,5627.2998046875,8896.8798828125,2227.909912109375,6387.56982421875,3156.800048828125,19428.08984375,4118.2998046875
2012-07-10,105.21482849121094,72.02936553955078,42.20057678222656,51.14898681640625,51.90688705444336,54.56297302246094,34.3199462890625,56.613014221191406,5664.10009765625,8857.73046875,2241.85009765625,6438.330078125,3175.409912109375,19396.359375,4098.0
2012-07-11,105.23049926757812,72.15089416503906,42.335472106933594,51.38320541381836,51.98526382446289,54.59047317504883,34.368988037109375,56.532894134521484,5664.5,8851.0,2246.22998046875,6453.85009765625,3157.25,19419.869140625,4096.5
2012-07-12,104.72064971923828,72.515380859375,42.24243927001953,51.188053131103516,52.06367111206055,54.62479019165039,34.439453125,56.639705657958984,5608.2998046875,8720.009765625,2228.010009765625,6419.35009765625,3135.179931640625,19025.109375,4068.0
2012-07-13,106.47761535644531,72.53962707519531,42.372676849365234,51.38320541381836,52.075679779052734,54.693504333496094,34.5068359375,56.646366119384766,5666.10009765625,8724.1201171875,2259.090087890625,6557.10009765625,3180.81005859375,19092.630859375,4082.199951171875
2012-07-16,106.22659301757812,72.7401123046875,42.20986557006836,51.253089904785156,52.178192138671875,54.71410369873047,34.52830123901367,56.67976379394531,5662.39990234375,,2251.9599609375,6565.72021484375,3179.89990234375,19121.33984375,4105.10009765625
2012-07-17,106.95610809326172,72.7401123046875,42.4099235534668,51.500308990478516,52.25061798095703,54.720985412597656,34.549739837646484,56.659725189208984,5629.10009765625,8755.0,2250.75,6577.64013671875,3176.969970703125,19455.330078125,4140.7998046875
2012-07-18,107.74830627441406,73.14102172851562,42.586647033691406,51.7605094909668,52.36516571044922,54.789703369140625,34.70295333862305,56.7531852722168,5685.7998046875,8726.740234375,2284.699951171875,6684.419921875,3235.39990234375,19239.880859375,4123.60009765625
2012-07-19,108.03070831298828,73.26860809326172,42.69367599487305,51.851661682128906,52.268699645996094,54.782814025878906,34.647804260253906,56.73984146118164,5714.2001953125,8795.5498046875,2302.449951171875,6758.39013671875,3263.639892578125,19559.05078125,4206.7001953125
2012-07-20,107.04239654541016,73.32332611083984,42.493656158447266,51.539344787597656,52.47974395751953,54.70726013183594,34.72441101074219,56.846675872802734,5651.7998046875,8669.8701171875,2237.330078125,6630.02001953125,3193.889892578125,19640.80078125,4199.10009765625
2012-07-23,105.95995330810547,73.08641815185547,42.42384719848633,51.59138870239258,52.383235931396484,54.659149169921875,34.678436279296875,56.87334060668945,5533.89990234375,8508.3203125,2179.31005859375,6419.330078125,3101.530029296875,19053.470703125,4128.89990234375
2012-07-24,105.05009460449219,73.20184326171875,42.163360595703125,51.26612854003906,52.42546081542969,54.659149169921875,34.76728057861328,56.94008255004883,5499.2001953125,8488.08984375,2151.5400390625,6390.41015625,3074.679931640625,18903.19921875,4133.2001953125
2012-07-25,105.07360076904297,73.34149169921875,42.07496643066406,51.1750602722168,52.47974395751953,54.720985412597656,34.810176849365234,56.98014450073242,5498.2998046875,8365.900390625,2159.090087890625,6406.52001953125,3081.739990234375,18877.330078125,4123.89990234375
2012-07-26,106.80707550048828,73.45695495605469,42.507591247558594,51.59138870239258,52.44356155395508,54.76219940185547,34.81937026977539,56.94008255004883,5573.2001953125,8443.099609375,2251.050048828125,6582.9599609375,3207.1201171875,18892.7890625,4147.7001953125
2012-07-27,108.7758560180664,73.1107177734375,42.7587890625,51.81263732910156,52.30483627319336,54.782814025878906,34.70906066894531,56.72647476196289,5627.2001953125,8566.6396484375,2301.22998046875,6689.39990234375,3280.18994140625,19274.9609375,4209.7998046875
2012-07-30,108.7758560180664,73.29901885986328,42.7587890625,51.82563400268555,52.437530517578125,54.830928802490234,34.81937026977539,56.83330154418945,5693.60009765625,8635.4404296875,2340.31005859375,6774.06005859375,3320.7099609375,19585.400390625,4245.7001953125
2012-07-31,108.01499938964844,73.67569732666016,42.656463623046875,51.890682220458984,52.59775161743164,54.8797721862793,34.86228942871094,56.893375396728516,5635.2998046875,8695.0595703125,2325.719970703125,6772.259765625,3291.659912109375,19796.810546875,4269.2001953125
2012-08-01,107.92085266113281,73.59333038330078,42.888004302978516,52.06075668334961,52.52522659301758,54.9141845703125,34.816490173339844,56.8244743347168,5712.7998046875,8641.849609375,,6754.4599609375,3321.56005859375,19820.380859375,4262.7998046875
2012-08-02,107.17573547363281,73.64216613769531,42.71492004394531,51.86445236206055,52.38009262084961,54.92798614501953,34.794986724853516,56.931461334228516,5662.2998046875,8653.1796875,2263.360107421875,6606.08984375,3232.4599609375,19690.19921875,4269.5
2012-08-03,109.30137634277344,73.4654541015625,42.892662048339844,52.126258850097656,52.36797332763672,54.92798614501953,34.75196838378906,56.72413635253906,5787.2998046875,8555.1103515625,2372.580078125,6865.66015625,3374.18994140625,19666.1796875,4221.5
2012-08-06,109.51313018798828,73.56293487548828,42.864593505859375,52.08696746826172,52.54335403442383,54.9141845703125,34.801124572753906,56.777618408203125,5808.7998046875,8726.2900390625,2399.320068359375,6918.72021484375,3401.56005859375,19998.720703125,4272.60009765625
2012-08-07,110.06218719482422,73.17901611328125,42.78042221069336,51.995361328125,52.26520538330078,54.9141845703125,34.66900634765625,56.630435943603516,5841.2001953125,8803.3095703125,2440.239990234375,6967.9501953125,3453.280029296875,20072.55078125,4291.60009765625
2012-08-08,110.19554901123047,72.97178649902344,42.80849075317383,52.0477294921875,52.222808837890625,54.8797721862793,34.61983871459961,56.61709976196289,5845.89990234375,8881.16015625,2432.280029296875,6966.14990234375,3438.260009765625,20065.51953125,4312.60009765625
2012-08-09,110.28968811035156,72.92304992675781,42.81317138671875,52.08696746826172,52.23497772216797,54.85911178588867,34.59834289550781,56.58358383178711,5851.5,8978.599609375,2437.0400390625,6964.990234375,3456.7099609375,20269.470703125,4308.2998046875
2012-08-10,110.47003936767578,73.13023376464844,42.77573013305664,52.021522521972656,52.35589599609375,54.83158493041992,34.69358825683594,56.650516510009766,5847.10009765625,8891.4404296875,2423.219970703125,6944.56005859375,3435.6201171875,20136.119140625,4277.2998046875
