target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,ap_lift
loss05,market_correlation,0.1,4510,805,0.17849223946784923,0.6276906312604253,0.30127882847614523,686,317,488,0.18515519568151148,0.3937888198757764,0.3160518444666002,0.22239467849223946,96,58,0.5179222123880022,0.34280885758246055,17,1.6879099582949255
loss05,topology,0.01,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,203,93,712,0.054790823211875846,0.115527950310559,0.3141891891891892,0.06563192904656319,97,53,0.4931222365026337,0.3323276061615243,17,1.1900964451840914
loss05,topology,0.05,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,403,195,610,0.10877192982456141,0.2422360248447205,0.32608695652173914,0.13259423503325943,141,79,0.4931222365026337,0.3323276061615243,17,1.1900964451840914
loss05,topology,0.1,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,577,254,551,0.15573549257759783,0.315527950310559,0.3056558363417569,0.18425720620842573,156,101,0.4931222365026337,0.3323276061615243,17,1.1900964451840914
loss05,topology_ews,0.01,4510,805,0.17849223946784923,0.5010569903018416,0.19660591067027472,268,53,752,0.07233468286099864,0.06583850931677018,0.16510903426791276,0.07117516629711752,12,4,0.49801982839114767,0.3056734753422801,17,1.1014815616434024
loss05,topology_ews,0.05,4510,805,0.17849223946784923,0.5010569903018416,0.19660591067027472,359,80,725,0.09689608636977058,0.09937888198757763,0.18223234624145787,0.09733924611973392,23,11,0.49801982839114767,0.3056734753422801,17,1.1014815616434024
loss05,topology_ews,0.1,4510,805,0.17849223946784923,0.5010569903018416,0.19660591067027472,500,134,671,0.1349527665317139,0.16645962732919253,0.2113564668769716,0.14057649667405764,26,10,0.49801982839114767,0.3056734753422801,17,1.1014815616434024
loss05,topology_z,0.01,4510,805,0.17849223946784923,0.5953509191037795,0.22972397206607145,122,57,748,0.03292847503373819,0.07080745341614907,0.31843575418994413,0.03968957871396896,71,47,0.5390861946738816,0.36855611515673836,17,1.2870249863577419
loss05,topology_z,0.05,4510,805,0.17849223946784923,0.5953509191037795,0.22972397206607145,284,119,686,0.0766531713900135,0.14782608695652175,0.29528535980148884,0.0893569844789357,123,83,0.5390861946738816,0.36855611515673836,17,1.2870249863577419
loss05,topology_z,0.1,4510,805,0.17849223946784923,0.5953509191037795,0.22972397206607145,476,195,610,0.12847503373819164,0.2422360248447205,0.2906110283159464,0.14878048780487804,149,100,0.5390861946738816,0.36855611515673836,17,1.2870249863577419
