target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss05,combined,0.01,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,273,143,662,0.07368421052631578,0.17763975155279504,0.34375,0.09223946784922395,54,36,0.5024562217608041,0.33398964332519476,17
loss05,combined,0.05,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,499,227,578,0.13468286099865048,0.2819875776397516,0.31267217630853994,0.16097560975609757,70,42,0.5024562217608041,0.33398964332519476,17
loss05,combined,0.1,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,691,310,495,0.1865047233468286,0.38509316770186336,0.3096903096903097,0.22195121951219512,72,40,0.5024562217608041,0.33398964332519476,17
loss05,combined_lasso,0.01,4510,805,0.17849223946784923,0.6151014660396812,0.3197920170113693,263,129,676,0.0709851551956815,0.16024844720496895,0.32908163265306123,0.08691796008869179,44,31,0.48765735463470566,0.334649774853099,17
loss05,combined_lasso,0.05,4510,805,0.17849223946784923,0.6151014660396812,0.3197920170113693,486,230,575,0.1311740890688259,0.2857142857142857,0.32122905027932963,0.15875831485587583,72,37,0.48765735463470566,0.334649774853099,17
loss05,combined_lasso,0.1,4510,805,0.17849223946784923,0.6151014660396812,0.3197920170113693,672,312,493,0.1813765182186235,0.3875776397515528,0.3170731707317073,0.21818181818181817,76,50,0.48765735463470566,0.334649774853099,17
loss05,combined_rf,0.01,4510,805,0.17849223946784923,0.644099714168364,0.2922839527588023,403,197,608,0.10877192982456141,0.24472049689440994,0.3283333333333333,0.13303769401330376,80,38,0.4742843183980773,0.3131066257039048,17
loss05,combined_rf,0.05,4510,805,0.17849223946784923,0.644099714168364,0.2922839527588023,517,281,524,0.13954116059379218,0.3490683229813665,0.35213032581453635,0.17694013303769401,72,34,0.4742843183980773,0.3131066257039048,17
loss05,combined_rf,0.1,4510,805,0.17849223946784923,0.644099714168364,0.2922839527588023,612,302,503,0.1651821862348178,0.37515527950310557,0.3304157549234136,0.20266075388026608,70,40,0.4742843183980773,0.3131066257039048,17
loss05,market,0.01,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,354,155,650,0.09554655870445344,0.19254658385093168,0.3045186640471513,0.11286031042128603,44,26,0.4834386155292122,0.3244037349517303,17
loss05,market,0.05,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,538,264,541,0.14520917678812414,0.3279503105590062,0.32917705735660846,0.1778270509977827,62,36,0.4834386155292122,0.3244037349517303,17
loss05,market,0.1,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,719,338,467,0.19406207827260458,0.41987577639751555,0.3197729422894986,0.2343680709534368,69,40,0.4834386155292122,0.3244037349517303,17
loss05,market_lasso,0.01,4510,805,0.17849223946784923,0.6400018440750705,0.3252138802674875,319,153,652,0.08609986504723346,0.19006211180124225,0.3241525423728814,0.10465631929046564,52,31,0.4851712887511403,0.326983812654347,17
loss05,market_lasso,0.05,4510,805,0.17849223946784923,0.6400018440750705,0.3252138802674875,523,267,538,0.14116059379217274,0.3316770186335404,0.3379746835443038,0.17516629711751663,66,35,0.4851712887511403,0.326983812654347,17
loss05,market_lasso,0.1,4510,805,0.17849223946784923,0.6400018440750705,0.3252138802674875,693,338,467,0.18704453441295546,0.41987577639751555,0.32783705140640157,0.22860310421286031,73,47,0.4851712887511403,0.326983812654347,17
loss05,market_rf,0.01,4510,805,0.17849223946784923,0.6221064366602125,0.2583667347162222,382,156,649,0.10310391363022942,0.1937888198757764,0.2899628252788104,0.11929046563192905,76,45,0.4326280276267422,0.2918944470736449,17
loss05,market_rf,0.05,4510,805,0.17849223946784923,0.6221064366602125,0.2583667347162222,498,226,579,0.13441295546558704,0.28074534161490683,0.31215469613259667,0.1605321507760532,67,35,0.4326280276267422,0.2918944470736449,17
loss05,market_rf,0.1,4510,805,0.17849223946784923,0.6221064366602125,0.2583667347162222,583,250,555,0.1573549257759784,0.3105590062111801,0.30012004801920766,0.18470066518847006,72,42,0.4326280276267422,0.2918944470736449,17
loss05,topology,0.01,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,203,93,712,0.054790823211875846,0.115527950310559,0.3141891891891892,0.06563192904656319,97,53,0.4931222365026337,0.3323276061615243,17
loss05,topology,0.05,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,403,195,610,0.10877192982456141,0.2422360248447205,0.32608695652173914,0.13259423503325943,141,79,0.4931222365026337,0.3323276061615243,17
loss05,topology,0.1,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,577,254,551,0.15573549257759783,0.315527950310559,0.3056558363417569,0.18425720620842573,156,101,0.4931222365026337,0.3323276061615243,17
loss05,topology_lasso,0.01,4510,805,0.17849223946784923,0.5620658670086588,0.2111654466213734,256,127,678,0.06909581646423751,0.1577639751552795,0.33159268929503916,0.08492239467849223,74,35,0.48912315598898864,0.32723506092259913,17
loss05,topology_lasso,0.05,4510,805,0.17849223946784923,0.5620658670086588,0.2111654466213734,401,202,603,0.10823211875843455,0.25093167701863356,0.33499170812603646,0.13370288248337028,88,47,0.48912315598898864,0.32723506092259913,17
loss05,topology_lasso,0.1,4510,805,0.17849223946784923,0.5620658670086588,0.2111654466213734,511,239,566,0.13792172739541161,0.2968944099378882,0.31866666666666665,0.1662971175166297,105,61,0.48912315598898864,0.32723506092259913,17
loss05,topology_rf,0.01,4510,805,0.17849223946784923,0.588081072245832,0.2780219989846151,197,65,740,0.05317139001349527,0.08074534161490683,0.2480916030534351,0.05809312638580931,112,74,0.5157850399821713,0.3381516535374153,17
loss05,topology_rf,0.05,4510,805,0.17849223946784923,0.588081072245832,0.2780219989846151,319,156,649,0.08609986504723346,0.1937888198757764,0.32842105263157895,0.10532150776053215,173,109,0.5157850399821713,0.3381516535374153,17
loss05,topology_rf,0.1,4510,805,0.17849223946784923,0.588081072245832,0.2780219989846151,481,235,570,0.12982456140350876,0.2919254658385093,0.32821229050279327,0.15875831485587583,202,140,0.5157850399821713,0.3381516535374153,17
loss05,combined_pi_lasso,0.01,4510,805,0.17849223946784923,0.5406015037593985,0.24703312391213375,208,104,701,0.056140350877192984,0.12919254658385093,0.3333333333333333,0.06917960088691796,53,31,0.48925576073609456,0.3445703691343295,17
loss05,combined_pi_lasso,0.05,4510,805,0.17849223946784923,0.5406015037593985,0.24703312391213375,384,185,620,0.10364372469635627,0.22981366459627328,0.3251318101933216,0.1261640798226164,59,23,0.48925576073609456,0.3445703691343295,17
loss05,combined_pi_lasso,0.1,4510,805,0.17849223946784923,0.5406015037593985,0.24703312391213375,519,259,546,0.14008097165991903,0.3217391304347826,0.3329048843187661,0.17250554323725056,75,37,0.48925576073609456,0.3445703691343295,17
loss05,combined_pi_rf,0.01,4510,805,0.17849223946784923,0.6209010821367801,0.27365934576335943,247,136,669,0.06666666666666667,0.168944099378882,0.35509138381201044,0.08492239467849223,35,17,0.5198648680641714,0.35724403598344034,17
